time,headline,cRIC,ticker,CompanyName,input
2025-08-07 20:05:39.700,INSTACART OUTLOOK Q3 ADJ EBITDA $260 MLN - $270 MLN VS IBES ESTIMATE $252.9 MLN,CART.O,CART,Maplebear Inc.,Maplebear Inc.: INSTACART OUTLOOK Q3 ADJ EBITDA $260 MLN - $270 MLN VS IBES ESTIMATE $252.9 MLN
2025-07-28 20:04:38.449,AMKOR TECHNOLOGY OUTLOOK Q3 NET SALES $1.875 BLN TO $1.975 BLN,AMKR.O,AMKR,"Amkor Technology, Inc.","Amkor Technology, Inc.: AMKOR TECHNOLOGY OUTLOOK Q3 NET SALES $1.875 BLN TO $1.975 BLN"
2025-11-05 21:05:12.770,ROBINHOOD Q3 ADJUSTED EBITDA USD 742 MILLION VS. IBES ESTIMATE USD 634 MILLION,HOOD.O,HOOD,"Robinhood Markets, Inc.","Robinhood Markets, Inc.: ROBINHOOD Q3 ADJUSTED EBITDA USD 742 MILLION VS. IBES ESTIMATE USD 634 MILLION"
2024-11-05 12:10:06.249,EBAY <EBAY.O>: MIZUHO RAISES TARGET PRICE TO $60 FROM $55,EBAY.O,EBAY,eBay Inc.,eBay Inc.: EBAY <EBAY.O>: MIZUHO RAISES TARGET PRICE TO $60 FROM $55
2025-04-08 15:34:32.000,MEDIA-Netflix taps veteran D.C. trade attorney Clete Willems as chief global affairs officer - Axios,NFLX.O,NFLX,"Netflix, Inc.","Netflix, Inc.: MEDIA-Netflix taps veteran D.C. trade attorney Clete Willems as chief global affairs officer - Axios"
2025-02-04 23:00:11.000,BRIEF-Microchip Technology Appoints Victor Peng To Board Of Directors,MCHP.O,MCHP,Microchip Technology Incorporat,Microchip Technology Incorporat: BRIEF-Microchip Technology Appoints Victor Peng To Board Of Directors
2025-04-09 04:21:50.973,MICROCHIP TECHNOLOGY <MCHP.O>: TD COWEN CUTS TARGET PRICE TO $35 FROM $60,MCHP.O,MCHP,Microchip Technology Incorporat,Microchip Technology Incorporat: MICROCHIP TECHNOLOGY <MCHP.O>: TD COWEN CUTS TARGET PRICE TO $35 FROM $60
2025-05-02 12:59:17.634,DUPONT CEO SAYS NOT LOOKING AT M&A BEFORE SPINOFF IS COMPLETE: CONF CALL,DD.N,DD,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc.: DUPONT CEO SAYS NOT LOOKING AT M&A BEFORE SPINOFF IS COMPLETE: CONF CALL"
2025-04-03 07:07:20.207,LOGITECH INTERNATIONAL SA <LOGN.S> SHARES DOWN 9.91%,LOGI.O,LOGI,Logitech International S.A. - R,Logitech International S.A. - R: LOGITECH INTERNATIONAL SA <LOGN.S> SHARES DOWN 9.91%
2025-10-14 13:43:00.000,US Supreme Court rebuffs challenge to federal protections for tech platforms,META.O,META,"Meta Platforms, Inc.","Meta Platforms, Inc.: US Supreme Court rebuffs challenge to federal protections for tech platforms"
2025-01-15 20:50:04.950,NYSE ORDER IMBALANCE <FICO.N> 25380.0 SHARES ON SELL SIDE,FICO.N,FICO,Fair Isaac Corporation,Fair Isaac Corporation: NYSE ORDER IMBALANCE <FICO.N> 25380.0 SHARES ON SELL SIDE
2025-11-06 11:03:48.649,DOORDASH <DASH.O>: MOFFETTNATHANSON CUTS TARGET PRICE TO $288 FROM $305,DASH.O,DASH,"DoorDash, Inc.","DoorDash, Inc.: DOORDASH <DASH.O>: MOFFETTNATHANSON CUTS TARGET PRICE TO $288 FROM $305"
